sample_id,class_name,col_index,cover_area,crop_type,grid_id,label,pos_prop,region,row_index,samples,x,y,year,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14
78,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.14905459214297,30.62567907655217,2021,0.29519618,0.22677824,0.24626866,0.31051752,0.5026115,0.51370853,0.8365229,0.8706852,0.89510185,0.8984881,0.77203506,0.54515254,0.23373494,0.2284345
79,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3394076008479,30.67266096591162,2021,0.74516606,0.27251232,0.1911447,0.1791531,0.32463545,0.53625539,0.74787533,0.80227274,0.8791334,0.8904429,0.6053047,0.4631861,0.22290076,0.116398714
80,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3544094660927,30.75180254244255,2021,0.7467726,0.28015563,0.14001986,0.29225025,0.6870544,0.808769615,0.93048483,0.88708776,0.90510553,0.8965737,0.5874674,0.38960585,0.19533762,0.1624738
81,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.35189418329716,30.610587379778963,2021,0.35725716,0.120567374,0.1717647,0.21014492,0.5482456,0.5169894,0.8488764,0.8826509,0.86794376,0.8824443,0.644904,0.26010782,0.1988912,0.20177384
82,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.18184310001334,30.595675346062578,2021,0.49796912,0.18369988,0.3187773,0.23864575,0.41312057,0.623865435,0.8346103,0.8677179,0.87223685,0.8824543,0.77524245,0.4435658,0.2249135,0.13781321
83,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.23358606037863,30.66152185638854,2021,0.39883313,0.15863454,0.24117054,0.30107528,0.6112084,0.7686023,0.9259962,0.88654286,0.9048507,0.8921084,0.7137056,0.348143,0.23841059,0.08779443
84,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.30877504965943,30.65927606817824,2021,0.70647484,0.27424628,0.18848653,0.25759578,0.4611872,0.6958006999999999,0.9304142,0.89023685,0.9107014,0.9086797,0.51846963,0.31930694,0.18518518,0.1761194
85,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.11348130689184,30.590015959772625,2021,0.7280868,0.53317921,0.33827162,0.14165261,0.24709527,0.55367636,0.86025745,0.8880262,0.9005545,0.91337675,0.8104308,0.6033453,0.21239221,0.22700356
86,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.275537384147,30.666732085036436,2021,0.6333639,0.20507812,0.18397535,0.23518851,0.61162484,0.6404288,0.938275,0.8805704,0.9048215,0.8936755,0.61730653,0.4313598,0.19772404,0.09976247
87,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.34964839508686,30.81630157984233,2021,0.17025155,0.5367146,0.19562243,0.25677538,0.46034482,0.59505791,0.729771,0.77587783,0.81822944,0.8297003,0.73592234,0.48716283,0.20839734,0.42086753
88,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.04817378573635,30.522911808048896,2021,0.7258567,0.21589561,0.16707921,0.32352942,0.5108774466666667,0.6982254733333333,0.8855735,0.9192101,0.9148936,0.9101455,0.84615386,0.44579858,0.19244288,0.18883842
89,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.29251554301686,30.639063974285552,2021,0.51939225,0.2431002,0.22804314,0.41425818,0.57704532,0.7398324599999999,0.9026196,0.86700886,0.8944659,0.88843066,0.73913044,0.38597524,0.26023495,0.36913827
90,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.31407510983573,30.803006513637364,2021,0.85215944,0.7718329,0.22089042,0.17306483,0.35724962,0.617252975,0.87725633,0.84927845,0.9051307,0.88008755,0.69222224,0.4993007,0.17786227,0.1223176
91,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.15489364148975,30.62747570712041,2021,0.663113,0.21830986,0.10133543,0.17081696,0.3867169,0.39746836,0.727027,0.7993345,0.8166098,0.8684531,0.6843366,0.31936416,0.21416526,0.17271408
92,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.36366211351913,30.636638523018423,2021,0.7802998,0.25656912,0.12888053,0.17782027,0.5045045,0.6627334,0.8209623,0.8607947,0.9070815,0.90093267,0.5423373,0.371305,0.19219653,0.14756258
93,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.25361849121448,30.548244299061068,2021,0.7069916,0.09771987,0.28277752,0.45927036,0.67234045,0.766882895,0.86142534,0.8778387,0.8804563,0.8674005,0.6782584,0.23921569,0.16571428,0.10037641
94,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.36581807020102,30.591992253397688,2021,0.6331096,0.21161826,0.12191529,0.14111179,0.20793346,0.47746426,0.83800983,0.8834741,0.9018211,0.9104205,0.5277091,0.3387978,0.21454546,0.16088723
